loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
37,5,3,2,0,0,0,0.000884518764259194,2,0,2,0.5,1227,613,1196,31,0,0,n,"wicket/src/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingTargetResolverStrategy.java"
3,0,0,1,0,0,0,0.000536854040594629,1,0,1,1,883,883,883,883,0,0,n,"wicket-examples/src/main/java/wicket/examples/ajax/builtin/tree/EditableTreeTablePage.java"
0,0,0,1,0,0,0,0.00034299159954222,1,0,1,1,883,883,883,883,0,0,n,"wicket-examples/src/main/java/wicket/examples/template/Page1.java"
100,1,1,4,0,0,1,0.000150420991902899,2,0,2,0.75,474,118,457,0,1,1,y,"wicket/src/main/java/org/apache/wicket/markup/html/internal/Enclosure.java"
33,0,0,1,0,0,0,5.67014690138269e-05,1,0,1,1,131,131,131,131,1,1,n,"wicket/src/main/java/org/apache/wicket/PageReference.java"
104,0,0,1,0,0,0,0.000172248110592858,1,0,1,1,886,886,886,886,0,0,n,"wicket/src/main/java/wicket/util/value/CopyOnWriteValueMap.java"
28,6,6,3,0,0,0,7.52725767378581e-05,1,0,1,1,738,246,719,4,0,0,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/model/ComponentModel.java"
3,0,0,1,0,0,0,0.000609606326890813,1,0,1,1,1027,1027,1027,1027,2,0,n,"wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/repeater/data/sort/AjaxFallbackOrderByBorder.java"
11,0,0,1,0,0,0,0.00022901451302307,1,0,1,1,846,846,846,846,1,1,n,"jdk-1.5/wicket-jmx/src/main/java/org/apache/wicket/jmx/ResourceSettingsMBean.java"
44,13,12,6,2,2,0,0.00027773158718629,4,3,1,0.5,844,140,595,0,6,0,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/WicketSessionFilter.java"
118,88,11,19,3,2,0,0.00064129754084594,6,4,2,0.421052631578947,814,42,481,0,19,1,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/Localizer.java"
15,0,0,1,0,0,1,0.000109049336830964,1,0,1,1,440,440,440,440,1,1,y,"wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/repeater/data/table/AjaxFallbackHeadersToolbar.java"
23,0,0,1,0,0,0,6.94780198102602e-05,1,0,1,1,330,330,330,330,1,1,n,"wicket/src/main/java/org/apache/wicket/markup/html/form/ChoiceRenderer.java"
0,0,0,1,0,0,0,0.00054974101264898,1,0,1,1,1027,1027,1027,1027,2,0,n,"wicket-extensions/src/main/java/wicket/extensions/wizard/WizardButtonBar.java"
10,0,0,1,0,0,0,0.000289873534101397,1,0,1,1,948,948,948,948,1,1,n,"wicket/src/main/java/wicket/markup/html/resources/JavaScriptReference.java"
97,4,4,2,0,0,0,0.000211590963642049,2,0,2,0.5,449,224,323,125,2,2,n,"wicket/src/main/java/org/apache/wicket/protocol/http/pagestore/AbstractPageStore.java"
14,0,0,1,0,0,0,8.2668728082781e-05,1,0,1,1,440,440,440,440,1,1,n,"wicket/src/main/java/org/apache/wicket/model/AbstractReadOnlyModel.java"
33,0,0,1,0,0,0,9.0980003417194e-05,1,0,1,1,463,463,463,463,0,0,n,"wicket/src/main/java/org/apache/wicket/markup/repeater/ReuseIfModelsEqualStrategy.java"
580,4,15,5,0,0,0,0.00121089990733828,2,0,2,0.6,969,193,927,0,9,0,n,"wicket/src/main/java/wicket/MarkupContainer.java"
1,0,0,1,0,0,0,0.000527079644377546,1,0,1,1,1267,1267,1267,1267,0,0,n,"wicket/src/java/wicket/request/target/component/IPageRequestTarget.java"
79,37,19,4,1,1,0,0.000407782924853962,2,0,2,0.75,845,211,740,0,4,1,n,"jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/select/Select.java"
154,22,12,4,0,0,0,0.000205098838246993,2,0,2,0.75,469,117,332,2,3,2,n,"wicket/src/main/java/org/apache/wicket/markup/html/tree/BaseTree.java"
24,3,3,2,0,0,0,0.000425059342225815,1,0,1,1,845,422,481,363,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/unicodeconverter/UnicodeConverter.java"
80,0,0,1,0,0,0,8.26838467045738e-05,1,0,1,1,453,453,453,453,0,0,n,"wicket-extensions/src/main/java/org/apache/wicket/extensions/wizard/WizardModel.java"
27,4,3,3,0,0,1,0.000269810894143778,3,0,3,0.333333333333333,456,152,340,1,1,2,y,"wicket-examples/src/main/java/org/apache/wicket/examples/niceurl/NiceUrlApplication.java"
2,4,1,2,0,0,0,0.000231027663985587,2,0,2,0.5,767,383,480,286,2,0,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/application/IClassResolver.java"
50,0,0,1,0,0,0,0.000837773816989057,1,0,1,1,1153,1153,1153,1153,0,0,n,"wicket/src/java/wicket/util/diff/Delta.java"
59,12,4,4,0,0,0,0.00024971543455187,3,0,3,0.5,867,216,846,0,1,0,n,"jdk-1.4/wicket/src/main/java/wicket/model/AbstractPropertyModel.java"
